SURPRISE,SUBJECT,Session,Cue,Y,,,,
Surprise,8,7,Light ,1.4,,,,
Surprise,8,7,Tone,3.4,,,,
Surprise,8,8,Light ,0.9,,,,
Surprise,8,8,Tone,3.8,,,,
Surprise,8,9,Light ,1.2,,,,
Surprise,8,9,Tone,4.3,,,,
Surprise,8,10,Light ,0.6,,,,
Surprise,8,10,Tone,3.3,,,,
Surprise,9,1,Light ,0.4,,,,
Surprise,9,1,Tone,0.5,,,,
Surprise,9,2,Light ,0.6,,,,
Surprise,9,2,Tone,1.2,,,,
Surprise,9,3,Light ,0.3,,,,
Surprise,9,3,Tone,2.9,,,,
Surprise,9,4,Light ,0.7,,,,
Surprise,9,4,Tone,1.9,,,,
Surprise,9,5,Light ,1,,,,
Surprise,9,5,Tone,2.5,,,,
Surprise,9,6,Light ,0.4,,,,
Surprise,9,6,Tone,3.4,,,,
Surprise,9,7,Light ,1.6,,,,
Surprise,9,7,Tone,4,,,,
Surprise,9,8,Light ,2.7,,,,
Surprise,9,8,Tone,3.2,,,,
Surprise,9,9,Light ,2.9,,,,
Surprise,9,9,Tone,4.6,,,,
Surprise,9,10,Light ,1.4,,,,
Surprise,9,10,Tone,3.9,,,,
Surprise,10,1,Light ,0.2,,,,
Surprise,10,1,Tone,1.1,,,,
Surprise,10,2,Light ,1,,,,
Surprise,10,2,Tone,1.1,,,,
Surprise,10,3,Light ,0.7,,,,
Surprise,10,3,Tone,2.6,,,,
Surprise,10,4,Light ,0.4,,,,
Surprise,10,4,Tone,4,,,,
Surprise,10,5,Light ,0,,,,
Surprise,10,5,Tone,4.6,,,,
Surprise,10,6,Light ,1,,,,
Surprise,10,6,Tone,5.4,,,,
Surprise,10,7,Light ,2,,,,
Surprise,10,7,Tone,3.8,,,,
Surprise,10,8,Light ,2.2,,,,
Surprise,10,8,Tone,4.8,,,,
Surprise,10,9,Light ,0.9,,,,
Surprise,10,9,Tone,3.9,,,,
Surprise,10,10,Light ,0.4,,,,
Surprise,10,10,Tone,4.3,,,,
Surprise,11,1,Light ,0.1,,,,
Surprise,11,1,Tone,0,,,,
Surprise,11,2,Light ,0.6,,,,
Surprise,11,2,Tone,1.1,,,,
Surprise,11,3,Light ,0.2,,,,
Surprise,11,3,Tone,0.8,,,,
Surprise,11,4,Light ,0.2,,,,
Surprise,11,4,Tone,1.2,,,,
Surprise,11,5,Light ,0.1,,,,
Surprise,11,5,Tone,0.8,,,,
Surprise,11,6,Light ,0.7,,,,
Surprise,11,6,Tone,2.8,,,,
Surprise,11,7,Light ,1.8,,,,
Surprise,11,7,Tone,3.6,,,,
Surprise,11,8,Light ,1,,,,
Surprise,11,8,Tone,3.4,,,,
Surprise,11,9,Light ,1.3,,,,
Surprise,11,9,Tone,4.1,,,,
Surprise,11,10,Light ,1.3,,,,
Surprise,11,10,Tone,3.4,,,,
Surprise,12,1,Light ,0.4,,,,
Surprise,12,1,Tone,1,,,,
Surprise,12,2,Light ,2,,,,
Surprise,12,2,Tone,1.2,,,,
Surprise,12,3,Light ,1.5,,,,
Surprise,12,3,Tone,0.9,,,,
Surprise,12,4,Light ,0.4,,,,
Surprise,12,4,Tone,0.3,,,,
Surprise,12,5,Light ,0.8,,,,
Surprise,12,5,Tone,0.9,,,,
Surprise,12,6,Light ,0.2,,,,
Surprise,12,6,Tone,0.2,,,,
Surprise,12,7,Light ,0,,,,
Surprise,12,7,Tone,0.8,,,,
Surprise,12,8,Light ,0.2,,,,
Surprise,12,8,Tone,1,,,,
Surprise,12,9,Light ,0.4,,,,
Surprise,12,9,Tone,1.7,,,,
Surprise,12,10,Light ,0.2,,,,
Surprise,12,10,Tone,3.9,,,,
Surprise,13,1,Light ,0.6,,,,
Surprise,13,1,Tone,0.7,,,,
Surprise,13,2,Light ,1.1,,,,
Surprise,13,2,Tone,2.5,,,,
Surprise,13,3,Light ,1,,,,
Surprise,13,3,Tone,1.6,,,,
Surprise,13,4,Light ,1.1,,,,
Surprise,13,4,Tone,2.6,,,,
Surprise,13,5,Light ,0.5,,,,
Surprise,13,5,Tone,1.8,,,,
Surprise,13,6,Light ,0.3,,,,
Surprise,13,6,Tone,2.3,,,,
Surprise,13,7,Light ,1.4,,,,
Surprise,13,7,Tone,3.2,,,,
Surprise,13,8,Light ,1,,,,
Surprise,13,8,Tone,3.5,,,,
Surprise,13,9,Light ,0.9,,,,
Surprise,13,9,Tone,4,,,,
Surprise,13,10,Light ,0.4,,,,
Surprise,13,10,Tone,4.8,,,,
Surprise,14,1,Light ,0.6,,,,
Surprise,14,1,Tone,1.7,,,,
Surprise,14,2,Light ,2.6,,,,
Surprise,14,2,Tone,5.6,,,,
Surprise,14,3,Light ,2.9,,,,
Surprise,14,3,Tone,3.9,,,,
Surprise,14,4,Light ,3.5,,,,
Surprise,14,4,Tone,8.5,,,,
Surprise,14,5,Light ,2.8,,,,
Surprise,14,5,Tone,10.6,,,,
Surprise,14,6,Light ,4.7,,,,
Surprise,14,6,Tone,11,,,,
Surprise,14,7,Light ,5.9,,,,
Surprise,14,7,Tone,9.5,,,,
Surprise,14,8,Light ,4.8,,,,
Surprise,14,8,Tone,11.6,,,,
Surprise,14,9,Light ,1.6,,,,
Surprise,14,9,Tone,10.8,,,,
Surprise,14,10,Light ,3.7,,,,
Surprise,14,10,Tone,12.5,,,,
No-Surprise,15,1,Light ,1.9,,,,
No-Surprise,15,1,Tone,1.1,,,,
No-Surprise,15,2,Light ,0.4,,,,
No-Surprise,15,2,Tone,1.3,,,,
No-Surprise,15,3,Light ,1.6,,,,
No-Surprise,15,3,Tone,2.2,,,,
No-Surprise,15,4,Light ,1.3,,,,
No-Surprise,15,4,Tone,4.2,,,,
No-Surprise,15,5,Light ,2.3,,,,
No-Surprise,15,5,Tone,4.2,,,,
No-Surprise,15,6,Light ,1.2,,,,
No-Surprise,15,6,Tone,3.4,,,,
No-Surprise,15,7,Light ,0.1,,,,
No-Surprise,15,7,Tone,3.3,,,,
No-Surprise,15,8,Light ,1.5,,,,
No-Surprise,15,8,Tone,3.2,,,,
No-Surprise,15,9,Light ,0,,,,
No-Surprise,15,9,Tone,2.2,,,,
No-Surprise,15,10,Light ,0.4,,,,
No-Surprise,15,10,Tone,4.3,,,,
No-Surprise,16,1,Light ,0.5,,,,
No-Surprise,16,1,Tone,1.1,,,,
No-Surprise,16,2,Light ,2.9,,,,
No-Surprise,16,2,Tone,2.6,,,,
No-Surprise,16,3,Light ,3.2,,,,
No-Surprise,16,3,Tone,4.8,,,,
No-Surprise,16,4,Light ,3.3,,,,
No-Surprise,16,4,Tone,6.1,,,,
No-Surprise,16,5,Light ,3.7,,,,
No-Surprise,16,5,Tone,4.9,,,,
No-Surprise,16,6,Light ,2.1,,,,
No-Surprise,16,6,Tone,6.9,,,,
No-Surprise,16,7,Light ,1.7,,,,
No-Surprise,16,7,Tone,7.1,,,,
No-Surprise,16,8,Light ,1.7,,,,
No-Surprise,16,8,Tone,8.8,,,,
No-Surprise,16,9,Light ,1.3,,,,
No-Surprise,16,9,Tone,12,,,,
