SURPRISE,SUBJECT,Session,Cue,Y,
No-Surprise,22,3,Light ,0,
No-Surprise,22,3,Tone,1.2,
No-Surprise,22,4,Light ,0,
No-Surprise,22,4,Tone,2,
No-Surprise,23,1,Light ,4,
No-Surprise,23,1,Tone,5.6,
No-Surprise,23,2,Light ,3.7,
No-Surprise,23,2,Tone,7.2,
No-Surprise,23,3,Light ,2.1,
No-Surprise,23,3,Tone,6.4,
No-Surprise,23,4,Light ,3.4,
No-Surprise,23,4,Tone,6.4,
No-Surprise,24,1,Light ,2.5,
No-Surprise,24,1,Tone,8.6,
No-Surprise,24,2,Light ,1,
No-Surprise,24,2,Tone,7.9,
No-Surprise,24,3,Light ,0.1,
No-Surprise,24,3,Tone,6.9,
No-Surprise,24,4,Light ,2.7,
No-Surprise,24,4,Tone,7.4,
No-Surprise,25,1,Light ,3.4,
No-Surprise,25,1,Tone,7.1,
No-Surprise,25,2,Light ,5.3,
No-Surprise,25,2,Tone,8.3,
No-Surprise,25,3,Light ,5.5,
No-Surprise,25,3,Tone,8.5,
No-Surprise,25,4,Light ,6.3,
No-Surprise,25,4,Tone,8.7,
No-Surprise,26,1,Light ,2.7,
No-Surprise,26,1,Tone,6.3,
No-Surprise,26,2,Light ,2.8,
No-Surprise,26,2,Tone,7,
No-Surprise,26,3,Light ,1.7,
No-Surprise,26,3,Tone,5.4,
No-Surprise,26,4,Light ,1.6,
No-Surprise,26,4,Tone,6,
Naïve,27,1,Tone,3.2,
Naïve,27,2,Tone,4,
Naïve,27,3,Tone,3.6,
Naïve,27,4,Tone,3.8,
Naïve,28,1,Tone,4,
Naïve,28,2,Tone,5.4,
Naïve,28,3,Tone,7.8,
Naïve,28,4,Tone,8,
Naïve,29,1,Tone,4.4,
Naïve,29,2,Tone,7.8,
Naïve,29,3,Tone,10.4,
Naïve,29,4,Tone,4.8,
Naïve,30,1,Tone,3.4,
Naïve,30,2,Tone,3.6,
Naïve,30,3,Tone,5.6,
Naïve,30,4,Tone,4.2,
